Acceptor,Donor ,DOI,Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),NFA abs max (solutioN),NFA max abs nm (thin film),NFA opt bg,NFA HOMO,NFA LUMO,donor abs solution,donor abs film,donor opt bg,donor HOMO,donor LUMO
A1,PTB7-Th,10.1039/C8TA00704G,0.89,12.54,51.75,5.79,681,785,1.4,-5.66,-3.7,,,,,
A2,PTB7-Th,10.1039/C8TA00704G,0.71,20.33,62.8,9.07,707,770,1.36,-5.7,-3.78,,,,,
A4T-16,J52-2F,10.1038/s41467-021-25394-w,0.821,18.1,69.9,10.4,,,,,,,,,,
A4T-16,PBDB-T,10.1038/s41467-021-25394-w,0.735,20.9,64.3,9.88,,,,,,,,,,
A4T-16,PBDB-TCl,10.1038/s41467-021-25394-w,0.909,20.8,74,14,,,,,,,,,,
A4T-16,PBDB-TF,10.1038/s41467-021-25394-w,0.876,21.8,79.8,15.2,,,,-5.67,-3.96,,,,,
A4T-16,PTO2,10.1038/s41467-021-25394-w,0.952,18.7,66.5,11.8,,,,,,,,,,
A4T-21,PBDB-TF,10.1038/s41467-021-25394-w,0.936,5.55,30.3,1.57,,,,-5.89,-3.92,,,,,
A4T-23,PBDB-TF,10.1038/s41467-021-25394-w,0.87,21,56.8,10.4,,,,-5.63,-3.98,,,,,
A701,PBDB-T,10.1021/acsmacrolett.0c00234,0.92,18.27,64,10.7,,,,-5.61,-3.8,,,,-5.36,-3.44
A702,PBDB-T,10.1021/acsaem.1c00584,0.9,21.93,60,11.84,,,,,,,,,-5.26,-3.46
A702,PBDB-TF,10.1021/acsaem.1c00584,0.95,6.74,43,2.73,,,,-5.41,-3.74,,,,-5.52,-3.49
ABP4T-4F,PBTB-TF,10.1002/aenm.202003177,0.922,22,75.1,15.2,720,782,1.37,-5.65,-3.85,,,,,
ACS8,PTB7-Th,10.1039/C8TA11484F,0.75,25.3,69.3,13.2,,,,-5.54,-4.05,,,,-5.3,-3.33
AFI3,P3HT,10.1002/ajoc.201700203,0.96,5.21,47,2.37,504,519,,-5.99,-3.52,,,,,
a-IT-2F,PBDB-T,10.1039/C8TA12530A,0.78,19.06,68.84,10.28,684,717,1.56,-5.67,-4.07,,,,,
a-IT-2OM,PBDB-T,10.1039/C8TA12530A,0.93,18.11,71.52,12.07,671,695,1.63,-5.61,-3.92,,,,,
a-ITIC-2Cl,PBDB-T2F,10.1021/acs.jpclett.9b01931,0.88,18.91,73.5,12.23,,,,,,,,,,
AOIC,J71,10.1021/acs.chemmater.0c04318,0.783,19.82,67.5,10.5,758,811,1.44,-5.5,-3.93,,,,-5.4,-3.24
AOIC,PBDB-TF,10.1021/acs.chemmater.0c04318,0.822,21.09,52.8,9.16,,,,,,,,,-5.45,-3.65
AOIC,PTB7-Th,10.1021/acs.chemmater.0c04318,0.75,22.34,73.1,12.3,,,,,,,,,-5.2,-3.59
AOIC1,J71,10.1021/acs.chemmater.0c04318,0.819,21.65,68.3,12.1,748,790,1.51,-5.53,-3.94,,,,,
AOIC1,PBDB-TF,10.1021/acs.chemmater.0c04318,0.878,21.4,63.9,12,,,,,,,,,,
AOIC1,PTB7-Th,10.1021/acs.chemmater.0c04318,0.751,19.64,66.8,9.85,,,,,,,,,,
AOIC2,J71,10.1021/acs.chemmater.0c04318,0.826,19.48,68.2,11,741,782,1.54,-5.62,-3.83,,,,,
AOIC2,PBDB-TF,10.1021/acs.chemmater.0c04318,0.918,19.41,66.2,11.8,,,,,,,,,,
AOIC2,PTB7-Th,10.1021/acs.chemmater.0c04318,0.764,19.35,63.3,9.35,,,,,,,,,,
AOT1,PTB7-Th,10.1021/acsaem.0c02719,0.74,7.31,60,3.31,708,773,1.46,-5.52,-3.88,,,,-5.24,-3.66
AOT2,PTB7-Th,10.1021/acsaem.0c02719,0.7,10.5,54,4.06,758,856,1.28,-5.39,-3.9,,,,,
AOT3,PTB7-Th,10.1021/acsaem.0c02719,0.62,17.63,59,6.59,810,938,1.22,-5.37,-3.95,,,,,
AQx,PBDB-TF,10.1002/adma.201906324,0.89,22.18,67.14,13.31,,,,-5.59,-3.85,,,,-5.57,-3.64
AQx-2,PBDB-TF,10.1002/adma.201906324,0.86,25.38,76.25,16.64,,,,-5.62,-3.88,,,,,
AT-4Cl,PBDB-TF,10.1002/aenm.201803541,0.901,19.52,75.5,13.27,691,709,1.6,-5.71,-3.89,,,,-5.45,-3.65
AT-NC,PBDB-T,10.1002/aenm.201803541,0.919,17.11,69.4,10.91,695,716,1.62,-5.44,-3.8,,,,-5.28,-3.48
ATT-1,PTB7-Th,10.1021/jacs.6b08523,0.87,16.48,70,10.07,,,1.54,-5.5,-3.63,,,,,
ATT-2,PTB7-Th,10.1002/adma.201606574,0.73,20.75,63,9.58,,,1.32,-5.5,-3.9,,,,-5.2,-3.6
A-WSSe-Cl,PBTB-TF,10.1002/anie.202104766,0.85,26.58,77.5,17.51,758,840,1.31,-5.7,-3.86,,,,,
AY6,PBDB-TF,10.1039/D0TA03985C,0.87,23.54,76.3,15.6,717,789,1.39,-5.69,-4.06,,,,,
BCDT-4Cl,PBDB-T,10.1021/acsami.0c00837,0.76,23.77,67,12.1,748,806,1.38,-5.47,-3.88,,,,-5.33,-3.53
BCDT-4F,PBDB-T,10.1021/acsami.0c00837,0.8,18.28,66,9.65,733,784,1.4,-5.46,-3.86,,,,,
BCIC2F,PBDB-T,10.1002/cssc.202100746,0.792,22.1,71,12.4,713,695,1.45,-5.54,-3.87,,,,-5.33,-3.51
BCPDT-1,PBDB-T,10.1016/j.orgel.2021.106131,0.76,16.29,59.1,7.54,707,824,1.36,-5.36,-3.85,,,,,
BCPDT-2,PBDB-T,10.1016/j.orgel.2021.106131,0.81,19.25,68.5,10.65,720,792,1.39,-5.4,-3.79,,,,-5.33,-2.92
BDCPDT-BC,PBDB-T,10.1021/acsami.9b08462,0.92,18.55,63.41,10.82,680,717,1.53,-5.4,-3.85,,,,,
BDCPDT-FIC,PBDB-T,10.1021/acsenergylett.8b00563,0.7,19.12,60.67,8.12,710,748,1.49,-5.52,-4,,,,,
BDCPDT-IC,PBDB-T,10.1021/acsami.9b08462,0.86,16.56,65.52,9.33,696,727,1.53,-5.41,-3.87,,,,-5.36,-3.54
BDCPDT-IC,PBDB-T,10.1021/acsenergylett.8b00563,0.86,16.56,65.52,9.33,696,727,1.53,-5.41,-3.87,,,,-5.36,-3.54
BDCPDT-TTC,PBDB-T,10.1021/acsenergylett.8b00563,0.94,17.72,61.78,10.29,671,700,1.58,-5.38,-3.78,,,,,
BDDBO-4F,PBDB-TF,10.1039/D0TA12288B,0.87,19.09,58.96,9.8,,,,-5.56,-3.93,,,,-5.54,-3.68
BDDEH-4F,PBDB-TF,10.1039/D0TA12288B,0.88,22.57,63.38,12.59,,,,-5.57,-3.94,,,,,
BDIC2F,PBDB-T,10.1002/cssc.202100746,0.799,9.9,37.9,3.01,689,722,1.38,-5.55,-3.85,,,,,
BDSePhCl,PBDB-T-2Cl,10.1039/C9TA03177D,0.92,20.35,73.1,13.68,725,790,1.41,-5.61,-3.96,,,,,
BDSeThCl,PBDB-T-2Cl,10.1039/C9TA03177D,0.97,17.85,68.8,11.91,685,706,1.55,-5.58,-3.82,,,,,
BDTC-4Cl,PBDB-T,10.1021/acs.chemmater.8b04087,0.864,18.56,59.5,9.54,,,,-5.35,-3.75,,,,-5.26,-3.63
BDT-IC,J71,10.1002/solr.201700107,0.92,17.3,65.5,10.5,,739,1.53,-5.51,-3.9,,,,-5.25,-3.18
BDTIT-M,PBDB-T,10.1039/C7TA10763C,0.903,17.56,71.3,11.31,700,730,1.55,-5.4,-3.85,,,,-5.31,-3.51
BDTN-BF,PBDB-TF,10.1021/acsami.9b22093,0.93,20.2,61.46,11.54,740,792,1.41,-5.58,-3.73,,,,-5.45,-3.65
BDTN-Th,PBDB-TF,10.1021/acsami.9b22093,0.95,8.2,45.11,3.53,740,792,1.41,-5.5,-3.62,,,,,
BDTP-4F,PBDB-TF,10.1002/smll.202001942,0.895,22.54,75.5,15.24,750,820,1.36,-5.61,-3.9,,,,,
BDTS-4Cl,PBDB-T,10.1021/acs.chemmater.8b04087,0.83,9.8,45.9,3.73,,,,-5.45,-3.82,,,,,
BDTThIT-M,PBDB-T,10.1039/C7TA10763C,0.942,18.03,71.4,12.12,710,738,1.53,-5.35,-3.82,,,,,
BFC-4F,PTQ10,10.1002/solr.202000421,0.81,20.5,72.35,12.05,727,,1.45,-5.54,-3.82,,,1.93,-5.53,-2.85
BIBT-NI,P3HT,10.1039/C8NJ04896G,0.77,6.14,44.2,2.11,,503,,-5.62,-3.65,,,,-5,-3.1
BID-4F,PBDB-TF,10.1016/j.jechem.2020.03.036,0.92,17.8,74.3,12.3,,749,1.53,-5.69,-3.73,,,,,
Bis-PDI-T-di-EG,P3HT,10.1039/c3cp51475g,0.67,3.83,60,1.54,560,545,,-5.57,-3.84,450,522,,-5,-3
BN-0F,J52,10.1002/ange.202100390,0.835,21.1,60.1,11,759,801,1.41,-5.35,-3.94,,,,,
BN-2F,J52,10.1002/ange.202100390,0.813,25.25,70.78,14.53,764,808,1.4,-5.39,-3.99,,,,-5.09,-3.13
BN-4F,J52,10.1002/ange.202100390,0.792,25.76,64.91,13.24,768,816,1.38,-5.44,-4.06,,,,,
BO2FIDT-4Cl,PBDB-T-2Cl,10.1002/smll.201907681,0.96,16.1,61.3,10.4,693,708,1.59,-5.73,-3.89,,,,,
BO-4Cl,B1,10.1007/s40843-020-1269-9,0.83,25.27,73,15.3,,,,-5.66,-4.09,,,,-5.37,-3.51
BO-4Cl,BTR,10.1007/s40843-020-1269-9,0.83,18.93,72,11.3,,,,,,,,,-5.34,-3.52
BO-4Cl,PBDB-TF,10.1038/s41467-021-24937-5,0.845,26.7,75.83,17.21,,,,-5.69,-4.1,,,,,
BO-4F,PBDB-TF,10.1007/s11426-021-1013-0,0.84,27,76.7,17.39,733,811,1.4,-5.7,-4.01,,,,-5.45,-3.64
BOC-4F,PTQ10,10.1002/solr.202000421,0.88,14.41,61.26,7.76,755,,1.42,-5.4,-3.78,,,,,
BP4T-4F,PBTB-TF,10.1002/aenm.202003177,0.839,26.3,77.7,17.1,732,826,1.33,-5.71,-3.91,,,,-5.47,-3.62
BP5T-4F,PBTB-TF,10.1002/aenm.202003177,0.888,24.6,76.3,16.7,735,813,1.34,-5.63,-3.88,,,,,
B-PDI-B,P3HT,10.1021/jp5093674,0.61,5.3,51,1.66,,,,-5.57,-3.95,,,,-5,-3
BPF-4F,SZ5,10.1021/acsenergylett.0c01688,0.846,22.1,67.4,12.6,742,,1.36,-5.58,-3.98,,,,-5.5,-2.92
BPS-4F,SZ5,10.1021/acsenergylett.0c01688,0.82,25.4,77.9,16.3,749,,1.29,-5.54,-4,,,,,
BPT-4F,SZ5,10.1021/acsenergylett.0c01688,0.853,24.8,79.1,16.8,727,,1.36,-5.59,-4,,,,,
BPTCN,PTB7-Th,10.1039/D0TC00225A,0.81,14.68,54,6.42,,569,,-5.38,-3.66,,,,-5.14,-3.42
Br-ITIC,J71,10.1016/j.nanoen.2019.04.018,0.876,18.27,76.2,12.19,,,,,,,,,-5.4,-3.24
Br-ITIC,PBDB-T-2F,10.1016/j.nanoen.2019.04.018,0.937,18.53,72.7,12.63,,,,,,,,,-5.45,-3.65
Br-ITIC,PTPDBDT,10.1039/C7QM00025A,0.93,15.4,66,9.4,,,,-5.73,-4.2,,,1.85,-5.6,-3.75
BT2,P3HT,10.1002/solr.201700166,0.97,7.59,67,4.93,605,619,1.82,-5.5,-3.53,,,,-5,-3.1
BT2b,P3HT,10.1002/solr.201700166,0.92,10.02,66,6.08,621,646,1.75,-5.41,-3.56,,,,,
BT2F-IC4F,PBDB-T,10.1039/D0TA03683H,0.67,19.43,64.7,8.45,724,703,1.38,-5.98,-4.31,,,,-5.23,-3.42
BT2FIDT-4Cl,PBDB-T-2Cl,10.1002/smll.201907681,0.97,18.1,71.5,12.5,695,722,1.56,-5.7,-3.88,,,,,
BT3,P3HT,10.1021/acsami.8b10312,0.72,5.81,61,2.55,657,674,1.59,-5.26,-3.66,,,,,
BT6IC-HD-4Cl,PBDB-TF,10.1021/acsami.0c07856,0.88,24.43,72.65,14.9,746,828,1.35,-5.57,-4.1,,,,,
BTA1,J52-Cl,10.1016/j.orgel.2021.106195,1.33,1.25,36.19,0.6,,,,-5.46,-3.59,,,,-5.39,-3.45
BTA1,P3HT,10.1021/acsmacrolett.7b00097,1.02,7.34,70,5.24,593,610,1.85,-5.51,-3.55,,,,-5,-3.1
BTA100,P3HT,10.1039/C8TC03963A,1.34,1.65,47,1.04,556,564,2.05,-5.32,-3.23,,,,-5,-3.1
BTA101,P3HT,10.1039/C8TC03963A,1.19,5.33,56,3.55,593,606,1.88,-5.41,-3.55,,,,,
BTA103,P3HT,10.1039/C8TC03963A,0.94,8.56,66,5.31,617,627,1.77,-5.37,-3.64,,,,,
BTA11,J52-Cl,10.1016/j.orgel.2021.106195,1.2,0.43,25.92,0.13,,,,-5.29,-3.53,,,,,
BTA13,J52-Cl,10.1016/j.orgel.2021.106195,1.23,9.95,58.42,7.16,,,,-5.34,-3.62,,,,,
BTA17,J52-Cl,10.1016/j.orgel.2021.106195,1.09,7.08,67.17,5.18,,,,-5.41,-3.69,,,,,
BTA2,P3HT,10.1021/acsmacrolett.7b00097,1.22,6.15,60,4.5,558,573,2,-5.43,-3.38,,,,,
BTA3,J52-F,10.1007/s11426-020-9840-x,1.19,11.56,65.71,9.04,,,,-5.54,-3.69,,,,-5.36,-3.42
BTA3,J52-Cl,10.1016/j.orgel.2021.106195,1.24,13.16,66.62,10.5,,,,-5.49,-3.73,,,,,
BTA3,J52,10.1021/acs.chemmater.8b05316,1.07,14.62,60.34,9.41,,,,,,,,,-5.13,-3.22
BTA3,J52-Cl,10.1021/acs.chemmater.8b05316,1.24,13.16,66.62,10.5,,,,-5.49,-3.73,,,,-5.39,-3.45
BTA3,P3HT,10.1021/acsami.8b10312,0.9,9.64,65,5.64,613,636,1.76,-5.49,-3.61,,,,,
BTA4,J52-F,10.1007/s11426-020-9840-x,1.21,8.39,55.25,5.61,,,,-5.5,-3.65,,,,,
BTA43,P3HT,10.1021/acsami.9b16662,0.89,10.84,68,6.56,600,644,1.78,-5.44,-3.47,,,,-5,-3.1
BTA5,J52-F,10.1007/s11426-020-9840-x,1.17,13.8,69.82,11.27,,,,-5.55,-3.71,,,,,
BTA53,P3HT,10.1021/acsami.9b16662,0.88,11.57,62,6.31,607,690,1.68,-5.48,-3.58,,,,,
BTA7,J52-Cl,10.1016/j.orgel.2021.106195,1.13,9.74,52.54,5.78,,,,-5.56,-3.66,,,,,
BT-BIC,PBDB-T,10.1021/jacs.1c00211,0.72,15.3,63.8,7,688,748,1.52,-5.46,-3.73,,,,-5.38,-3.5
BT-BO-L4F,PBDB-T,10.1021/jacs.1c00211,0.72,26.9,57.4,11.2,,,,,,,,,,
BT-BO-L4F,PBDB-TF,10.1021/jacs.1c00211,0.83,28.4,70,16.6,762,837,1.32,-5.58,-3.98,,,,-5.48,-3.64
BTC6-0F,PBDB-T,10.1039/D1NJ01978C,0.87,17.99,54.2,8.49,711,685,1.48,-5.47,-3.71,,,,,
BTC6-2F,PBDB-T,10.1039/D1NJ01978C,0.81,19.32,64.14,10.1,720,700,1.44,-5.52,-3.8,,,,,
BTC6-4F,PBDB-T,10.1039/D1NJ01978C,0.79,19.81,71.65,11.23,724,781,1.43,-5.56,-3.86,,,,,
BTCIC,PBDB-T,10.1021/acsami.0c01850,0.79,18.6,63,9.3,,,,,,,,,-5.31,-3.38
BTCIC,PBDB-T-2Cl,10.1021/acsami.0c01850,0.83,5.4,62,2.8,734,723,1.36,-5.53,-4,,,,-5.63,-3.59
BT-CIC,PTB7-Th,10.1002/adma.201804416,0.695,22.3,70,10.8,,,,-5.49,-4.09,,,,-5.22,-3.21
BT-CIC,PTB7-Th,10.1021/jacs.7b11278,0.7,22.5,71,11.2,,,,-5.49,-4.09,,,,-5.22,-3.84
BTCIC-4Cl,PBDB-T,10.1021/acsami.0c01850,0.63,23.2,69,10.2,,,,,,,,,,
BTCIC-4Cl,PBDB-T-2Cl,10.1021/acsami.0c01850,0.75,21,66,10.5,756,748,1.31,-5.64,-4.12,,,,,
BT-Cl,PTQ-10,10.1016/j.orgel.2021.106132,0.79,17.85,61.05,8.65,759,842,1.31,-5.42,-3.71,,,,,
BTCPDT,PBDB-T,10.1021/acsaem.0c02083,0.69,15.7,67,7.22,744,815,1.34,-5.54,-3.95,,,,-5.31,-3.63
BTCPDTF,PBDB-T,10.1021/acsaem.0c02083,0.71,15.29,68,7.32,724,781,1.44,-5.64,-3.92,,,,,
BTCPDTO4,PBDB-T,10.1021/acsaem.0c02083,0.78,21.21,71,11.85,752,795,1.38,-5.52,-3.9,,,,,
BTCT-2Cl,PBDB-TF,10.1021/acs.chemmater.0c01245,0.877,24.4,70.4,15.1,,,,-5.56,-3.95,,,,,
BT-dIBT,PBDB-T,10.1016/j.solener.2020.01.032,0.87,18.59,64.8,10.52,696,718,1.54,-5.34,-3.87,,,,-5.23,-3.18
BTDT2R,P3HT,10.1021/acsami.9b09256,0.81,9.42,67,5.09,,,,,,,,,-5.14,-3.14
BTDT2R,PPDT2FBT,10.1021/acsami.9b09256,1.07,11.23,57,6.9,530,550,1.88,-5.61,-3.73,,,,-5.43,-3.67
BTDT2R,PTB7-Th,10.1021/acsami.9b09256,1.06,13.52,57,8.19,,,,,,,,,-5.34,-3.74
BTDTP-4F,PBDB-TF,10.1002/smll.202001942,0.866,21.25,71.3,13.12,761,857,1.3,-5.56,-3.93,,,,,
BT-F,PTQ-10,10.1016/j.orgel.2021.106132,0.82,16.99,59.3,8.26,696,811,1.33,-5.41,-3.7,,,,,
BT-IC,J61,10.1039/C7EE00844A,0.87,16.35,67.1,9.56,,,,,,,,,-5.22,-3.21
BT-IC,J71,10.1039/C7EE00844A,0.9,17.75,65.7,10.46,,,1.43,-5.32,-3.85,,,,-5.25,-3.18
BTIC-2Br-m,PBDB-TF,10.1002/advs.201903784,0.88,25.03,73.13,16.11,734,820,,-5.56,-4.07,,,,-5.45,-3.65
BTIC-2Cl-yCF3,PBDB-TF,10.1002/ange.202013053,0.84,25.09,76.99,16.31,,,,-5.55,-4,,,,-5.45,-3.64
BTIC-4Br,PBDB-TF,10.1002/advs.201903784,0.85,20.67,69.58,12.2,746,825,,-5.57,-4.11,,,,,
BTIC-4Cl,PBDB-TF,10.1002/ange.202013053,0.86,18.73,69.27,11.14,,,,,,,,,,
BTIC-4EO-4Br,PBDB-TF,10.1021/acsami.0c17598,0.84,22.78,65.21,12.41,750,805,1.39,-5.45,-4.03,,,,,
BTIC-4EO-4Cl,PBDB-TF,10.1021/acsami.0c17598,0.78,20.59,69.85,11.29,747,800,1.39,-5.72,-3.93,,,,-5.45,-3.65
BTIC-4EO-4F,PBDB-TF,10.1021/acsami.0c17598,0.77,20.01,69.11,10.64,732,774,1.45,-5.63,-3.88,,,,,
BTIC-4F,PBDB-TF,10.1039/D1TA03643B,0.894,20.5,65.7,12.04,696,739,1.48,-5.71,-3.95,,,,-5.57,-3.64
BT-IC4F,PBDB-T,10.1039/D0TA03683H,0.69,21.4,66.4,9.83,746,734,1.37,-5.89,-4.27,,,,,
BTIC-BO-4Br,PBDB-TF,10.1002/advs.201903784,0.86,24.06,67.84,14.03,747,823,,-5.53,-4.09,,,,,
BTIC-CF3-y,PBDB-TF,10.1002/ange.202013053,0.83,24.88,73.21,15.1,,,,,,,,,,
BTIC-CF3-y,PBDB-TF,10.1016/j.joule.2020.02.004,0.85,25.19,72.82,15.59,744,837,1.3,-5.45,-3.96,,,,,
BTIC-Cl-m,PBDB-TF,10.1016/j.joule.2020.02.004,0.88,21.35,69.7,13.16,733,822,1.34,-5.42,-3.91,,,,,
BTIC-COOMe,PBDB-TF,10.1021/acs.jpclett.1c01077,0.9,22.13,66.71,13.25,,,,-5.41,-3.89,,,,-5.38,-3.63
BTIC-F-m,PBDB-TF,10.1016/j.joule.2020.02.004,0.92,21.41,69.09,13.61,724,805,1.36,-5.42,-3.9,,,,,
BTIC-OCOMe,PBDB-TF,10.1021/acs.jpclett.1c01077,0.95,15.55,56.2,8.32,,,,-5.35,-3.83,,,,,
BTIDIC,J71,10.1021/acsapm.0c00748,0.861,19.8,67.4,11.5,713,766,1.47,-5.48,-3.97,,,,-5.4,-3.65
BT-L4F,PBDB-TF,10.1021/jacs.1c00211,0.84,21.3,51.6,9.3,762,838,1.32,-5.57,-4,,,,,
BT-LIC,PBDB-T,10.1021/jacs.1c00211,0.86,24.3,63.2,13.2,733,801,1.38,-5.42,-3.84,,,,,
BT-LIC,PBDB-TF,10.1021/jacs.1c00211,0.85,23.5,52,10.4,,,,,,,,,,
BTN-4F,PBDB-TF,10.1002/sstr.202000052,0.816,25.05,77.3,15.82,742,834,1.33,-5.73,-4.15,,,,,
BTOC6C8-IC4F,PBDB-T,10.1016/j.orgel.2021.106133,0.8,17.02,55.44,7.55,742,773,1.42,-5.52,-3.92,,,,,
BTOIC,PBDB-T,10.1002/adfm.201803128,0.862,18.6,68.4,10.96,743,781,1.39,-5.42,-3.94,,,,,
BTOR-IC4F,PBDB-T,10.1039/D0TA03683H,0.8,20.57,69.6,11.48,750,710,1.37,-5.92,-4.23,,,,,
BTP,PBDB-TF,10.1021/acsami.0c16389,0.96,16.3,56.6,8.8,,,,-5.52,-3.82,,,,,
BTP-0Cl,PBDB-T,10.1002/anie.202102622,0.902,21.4,70.1,13.4,,,,,,,,,,
BTP-0Cl,PBDB-TF,10.1002/anie.202102622,0.968,14.7,59.2,8.42,,,,,,,,,,
BTP-1V,PBDB-T,10.1039/D0MA01017K,0.84,20.86,63.1,11.03,737,829,1.28,-5.54,-3.89,,,,,
BTP-2Cl-delta,PBDB-TF,10.1021/acsami.0c16389,0.89,24.3,71.1,15.4,,,,-5.57,-3.85,,,,,
BTP-2F-2Cl,BTR-Cl,10.1002/advs.202004262,0.8234,22.35,71.41,13.1,,,,,,,,,,
BTP-2F-ThCl,PBDB-TF,10.1016/j.joule.2020.03.023,0.869,25.38,77.4,17.06,741,839,1.34,-5.7,-3.99,,,,,
BTP-2ThCl,PBDB-TF,10.1016/j.joule.2020.03.023,0.885,23.46,69.8,14.49,750,829,1.35,-5.67,-3.95,,,,,
BTP-2V,PTB7-Th,10.1039/D0MA01017K,0.77,19.8,51.4,7.87,756,851,1.28,-5.43,-3.91,,,,,
BTP-3V,PTB7-Th,10.1039/D0MA01017K,0.72,6.46,44.3,2.06,768,814,1.22,-5.38,-3.9,,,,,
BTP-4Cl,PBDB-T,10.1002/anie.202102622,0.75,22.9,68.8,11.8,,,,,,,,,,
BTP-4Cl,PBDB-TF,10.1002/anie.202102622,0.838,26.7,79,17.7,,,,,,,,,,
BTP-4Cl,PBDB-TF,10.1021/acsami.0c05172,0.85,25.5,76,16.5,,,,,,,,,,
BTP-4Cl,PBDB-TF,10.1021/acsami.0c16389,0.85,25,68,14.5,,,,-5.64,-4.15,,,,-5.54,-3.65
BTP-4Cl,PBDB-TF,10.1038/s41467-019-10351-5,0.867,25.4,75,16.5,,,,-5.68,-4.12,,,,-5.45,-3.64
BTP-4Cl,P3HT,10.1039/D0EE01763A,0.5,5.16,39,1.01,,,,,,,,,,
BTP-4Cl-12,PBDB-TF,10.1093/nsr/nwz200,0.858,25.6,77.6,17,,,,,,,,,,
BTP-4F,PBDB-TF,10.1002/anie.201915030,0.85,25.3,77.8,16.7,,,,-5.68,-3.89,,,,,
BTP-4F,PBDB-TF,10.1016/j.joule.2020.03.023,0.841,25.19,77.3,16.37,733,841,1.33,-5.72,-4.01,,,,,
BTP-4F,PBDB-TF,10.1038/s41467-019-10351-5,0.834,24.9,75.3,15.6,,,,-5.65,-4.02,,,,,
BTP-4F-12,PBDB-TF,10.1002/adma.201903441,0.855,25.3,76,16.4,,,,-5.69,-3.97,,,,-5.45,-3.64
BTP-4F-C5-16,PBDB-TF,10.1021/acs.chemmater.1c03104,0.844,27.78,77.68,18.2,,,,-5.73,-3.93,,,,-5.47,-3.58
BTP-4V,PTB7-Th,10.1039/D0MA01017K,0.67,3.61,42.7,1.03,760,885,1.21,-5.34,-3.94,,,,,
BTP-6F,PBDB-TF,10.1002/anie.201915030,0.81,25.9,72.8,15.3,,,,-5.69,-3.97,,,,,
BTP-ClBr,PBDB-TF,10.1002/aenm.202002649,0.906,23.48,79,16.82,746,826,1.38,-5.79,-4,,,,,
BTP-ClBr1,PBDB-TF,10.1002/aenm.202002649,0.854,23.66,72.2,14.56,747,742,1.33,-5.79,-4.03,,,,,
BTP-ClBr2,PBDB-TF,10.1002/aenm.202002649,0.845,24.97,73.6,15.54,754,743,1.33,-5.8,-4.04,,,,,
