Molecule,Reference,A (acceptor) or D (donor),max abs solution,max abs film,opt bg,HOMO,LUMO
BZIC-2Br,Zhang_bromination_2021,A,,807,1.4,-5.85,-3.92
C8IDT-Br,Zhang_brominated_2021,A,606,662,1.63,-5.73,-3.86
C8-ITCC,Zhang_chlorinated_2019,A,,,,-5.45,-3.85
C8-ITCC-Cl,Zhang_chlorinated_2019,A,,,,-5.5,-3.93
C8-ITIC,Fei_an alkylated_2018,A,,,,-5.63,-3.91
CBM,Wang_pi-bridge_2016,A,497,547,2.02,-6.05,-4.13
CDTBM,Wang_pi-bridge_2016,A,681,701,1.45,-5.69,-4.28
CH1007,Lin_a non-fullerene_2020,A,,,,-5.59,-3.97
CH3-2F,Wang_high-performance_2021,A,734,775,1.42,-5.59,-4.01
Cl-ITIC,Yang_halogenated_2017,A,,,,-5.7,-4.14
CNDTBT-C8IDT-FINCN,Kim_alkylated_2020,A,692,766,1.4,-5.58,-3.92
CNDTBT-C8IDT-INCN,Kim_alkylated_2020,A,680,715,1.48,-5.54,-3.82
CNDTBT-IDTT-FINCN,Kim_synthesis_2019,A,699,726,1.58,-5.56,-3.98
COi6DFIC,Li_a carbon-oxygen_2018,A,769,824,1.31,-5.64,-4.04
COi6FIC,Li_a carbon-oxygen_2018,A,764,815,1.34,-5.6,-3.93
COi6IC,Li_a carbon-oxygen_2018,A,755,795,1.37,-5.57,-3.86
Coi8DFIC,Li_molecular_2019,A,,,,-5.5,-3.88
Coi8DFIC,Xiao_26mA_2017,A,,,1.26,,
Coi8DFIC,Yang_nonfullerene_2020,A,,,,-5.52,-4.2
CPDT-4Cl,Wang_simple_2019,A,786,858,1.3,-5.29,-3.93
CPDT-4F,Wang_simple_2019,A,776,847,1.31,-5.26,-3.87
CPIC-1,Yuan_near-infrared_2021,A,674,642,1.45,-5.61,-3.62
CPIC-2,Yuan_near-infrared_2021,A,764,742,1.31,-5.3,-3.52
CPIC-3,Yuan_near-infrared_2021,A,780,819,1.24,-5.2,-3.48
CRIC,Zhao_synthesis_2020,A,,,1.53,-5.44,-3.82
CRIC-4F,Zhao_synthesis_2020,A,,,,-5.67,-3.9
CSeT-IC,Liu_modulating_2021,A,690,712,1.58,-5.6,-3.91
CTSe-IC,Liu_modulating_2021,A,697,725,1.56,-5.55,-3.9
Cz-RH,Kim_rhodanine_2014,A,,,2.05,-5.53,-3.5
CZTT-4F,Wang_nonacyclic_2019,A,706,737,1.48,-5.61,-4.11
CZTT-IC,Wang_nonacyclic_2019,A,684,700,1.56,-5.54,-3.97
D18,Zhang_selenium_2020,D,,,,-5.51,-2.77
DBD-4F,Cao_asymmetric_2021,A,731,816,1.38,-5.55,-3.74
DBT-4F,Cao_asymmetric_2021,A,703,789,1.43,-5.67,-3.87
DBTD-4F,Cao_asymmetric_2021,A,753,751,1.34,-5.51,-3.9
DCI-2,mishra_unprecedented_2017,A,680,888,1.23,-5.24,-4.05
DF-PCIC,Li_an unfused-core_2018,A,,,,-5.49,-3.77
DF-TCIC,Qin_enhanced_2019,A,,686,1.46,-5.37,-3.76
DICTF,Li_a simple_2016,A,,,1.82,-5.67,-3.79
DICTF,Qiu_a new_2017,A,587,624,1.82,-5.67,-3.79
di-PBI,Lee_high-performance_2016,A,,,,-6.1,-4
di-PDI,Zhang_fluorinated_2021,A,,,,-6.1,-3.86
di-PDI-2F,Zhang_fluorinated_2021,A,,,,-6.22,-3.92
DO-2F,Li_ternary_2021,A,,,,-5.54,-3.9
DPP-FN-DPP,Do_9-fluorenone_2017,A,585,653,1.75,-5.56,-3.81
DR3TBDTT,Yang_a minimal_2018,D,,,,-5.02,-3.27
DRBDT-STVT,Huo_medium-bandgap_2018,D,,,,-5.14,-3.43
DRBDT-TVT,Huo_medium-bandgap_2018,D,,,,-5.11,-3.41
DRCN5T,Wang_all-small-molecule_2018,D,,,,-5.22,-3.41
DRNCN5T,Wang_high-performance_2018,D,,,,-5.22,-3.41
DRTB-T,Yang_new_2017,D,,,,-5.51,-3.34
DRTB-T-C4,Yang_modulating_2018,D,,,,-5.51,-3.34
DTBT(TDPP)2,Jung_low-bandgap_2015,A,,,,-5.7,-4.18
DTC-4F,Chen_a chlorinated_2020,A,672,701,1.63,-5.79,-3.92
DTCC-BC,Chang_isomerically_2019,A,643,671,1.67,-5.46,-3.81
DTCC-IC,Cao_design_2017,A,669,731,1.59,-5.5,-3.87
DTCC-IC,Chang_isomerically_2019,A,655,681,1.66,-5.47,-3.83
DTC-F-C,Liao_construction_2021,A,691,650,1.72,-5.66,-3.94
DTC-F-F,Liao_construction_2021,A,595,654,1.68,-5.51,-3.83
DTC-T-C,Liao_construction_2021,A,620,681,1.59,-5.68,-4.09
DTC-T-F,Liao_construction_2021,A,591,653,1.65,-5.48,-3.83
DTDfBT(TDPP)2,Jung_low-bandgap_2015,A,,,,-5.85,-4.33
DTG-IW,Cho_dithienogermole_2020,A,720,822,1.32,-5.63,-4.07
DTI,Pho_decacyclene_2013,A,,,,-6.1,-3.9
DTNIC6,Ma_ladder-type_2017,A,638,670,1.7,-5.87,-3.92
DTNIC8,Ma_ladder-type_2017,A,634,660,1.73,-5.91,-3.93
DTNR,Ma_angular_2017,A,618,650,1.72,-5.67,-3.75
DTPC-DFIC,Yao_dithienopicenecarbazole_2018,A,,,,-5.31,-4.1
DTPC-IC,Yao_dithienopicenecarbazole_2018,A,,,,-5.21,-3.97
DTP-in-F,Zhao_highly_2021,A,,,,-5.53,-3.92
DTP-out-F,Zhao_highly_2021,A,,,,-5.61,-3.96
DTSiC-IC,Su_elucidating_2021,A,634,678,1.71,-5.79,-4.05
DTSiC-TC,Su_elucidating_2021,A,664,688,1.67,-5.79,-4.07
DTTC-4Cl,Chen_a chlorinated_2020,A,690,753,1.47,-5.72,-4.03
DTTC-4F,Chen_a chlorinated_2020,A,676,725,1.55,-5.69,-3.91
eC9-2Cl,Cui_single-junction_2021,A,,,,-5.57,-3.74
EH-HD-4F,Chen_high-performance_2021,A,732,813,1.39,-5.69,-4.04
EH-IDTBR,Holliday_high-efficiency_2016,A,650,690,1.63,-5.51,-3.88
ERCN,Wu_simultaneous_2019,A,582,572,1.82,-5.5,-3.59
F(DPP)2B2,Shi_solution_2015,A,,,1.82,-5.21,-3.39
F-0Cl,Wang_high-performance_2018,A,,,,-5.43,-3.71
F1,Yao_fluorination_2020,D,568,577,1.97,-5.5,-3.53
F-1Cl,Wang_high-performance_2018,A,,,,-5.46,-3.75
F-2Cl,Li_concurrently_2021,A,688,732,1.58,-5.76,-3.91
F-2Cl,Wang_high-performance_2018,A,,,,-5.5,-3.86
F-2F,Ke_the rational_2020,A,678,703,1.6,-5.78,-3.89
F5IC,Dai_effect_2018,A,666,694,1.64,-5.82,-4.05
F7IC,Dai_effect_2018,A,690,730,1.56,-5.74,-4.01
F8IC,Cheng_efficient_2019,A,,,,-5.4,-4
F8IDT-Br,Zhang_brominated_2021,A,600,638,1.7,-5.82,-3.87
F9IC,Dai_effect_2018,A,710,746,1.49,-5.52,-3.97
FBM,Wang_pi-bridge_2016,A,486,501,2.11,-6.25,-4.14
FBR,Baran_reduced_2016,A,,509,,-5.83,-3.57
FBR,Holliday_rhodanine_2015,A,,509,2.14,-5.7,-3.57
F-Br,Wang_a halogenation_2018,A,679,720,1.56,-5.62,-4.06
F-BTA3,Cui_single-junction_2021,A,,,,-5.52,-3.39
F-Cl,Wang_a halogenation_2018,A,678,711,1.58,-5.62,-4.04
FDICTF,Feng_an A-D-A_2017,A,665,689,1.63,-5.43,-3.71
FDICTF,Qiu_a new_2017,A,665,689,1.63,-5.43,-3.71
FDNCTF,Feng_an A-D-A_2017,A,697,714,1.6,-5.42,-3.73
FDNCTF,Kan_ternary_2018,A,,,,-5.54,-3.9
FDTBT-IDTT-FINCN,Kim_synthesis_2019,A,691,723,1.51,-5.46,-3.92
FEHIDT,Winzenberg_indan_2013,A,,,,-5.95,-3.95
F-F,Wang_a halogenation_2018,A,674,703,1.59,-5.72,-4.13
FFI-1,Zhou_a non-fullerene_2012,A,,,,-6.1,-3.5
F-H,Ke_the rational_2020,A,665,689,1.63,-5.43,-3.71
F-H,Wang_a halogenation_2018,A,665,689,1.63,-5.42,-3.79
F-H,Zhang_nonfullerene_2018,A,665,689,1.63,-5.43,-3.71
F-ITIC,Yang_halogenated_2017,A,,,,-5.65,-4.09
FITP,Li_a non-fullerene acceptors with a fully fused_2016,A,,,,-5.48,-3.75
Flu-RH,Kim_rhodanine_2014,A,,,2.1,-5.58,-3.53
F-M,Zhang_nonfullerene_2018,A,662,687,1.65,-5.42,-3.7
FNIC1,Wang_effect_2018,A,734,752,1.48,-5.61,-3.92
FNIC2,Wang_effect_2018,A,750,794,1.38,-5.56,-4
FNTz-Teh-FA,Chatterjee_fluorinated_2018,A,525,,2.08,-6.17,-3.55
FO-2F,Ke_the rational_2020,A,696,784,1.47,-5.72,-3.94
FOC2C6-2FIC,Feng_regulating_2020,A,710,742,1.43,-5.51,-3.84
FOC6-FIC,Feng_regulating_2020,A,708,736,1.47,-5.47,-3.81
FOC6-IC,Feng_regulating_2020,A,700,721,1.51,-5.42,-3.77
FOIC,Cheng_efficient_2019,A,,,,-5.4,-3.9
FOIC,Li_fused_2018,A,782,836,1.32,-5.36,-3.92
FRd2,Suman_simple_2017,A,,509,,-5.67,-3.58
FRdCN2,Suman_a fluorene_2018,A,,530,,-5.88,-3.81
FTAZ,Bauer_donor_2017,D,,,,-5.48,-3.47
FTAZ,Dai_effect_2018,D,,,,-5.38,-3.17
FTAZ,Dai_fused_2017,D,,,,-5.38,-3.17
FTAZ,Zhu_naphthodithiophene_2018,D,,,,-5.38,-3.17
GL1,Li_concurrently_2021,A,817,846,1.28,-5.4,-3.83
H1,Gupta_H-shaped_2017,A,,,1.67,-5.51,-3.84
H11,Bin_precise_2020,D,,,,-5.27,-3.45
H13,Bin_precise_2020,D,,,,-5.43,-3.39
H14,Bin_precise_2020,D,,,,-5.46,-3.47
H2,Qin_triplet_2020,A,,,,-5.62,-3.94
H-2F,Wang_high-performance_2021,A,710,745,1.46,-5.58,-4.06
HD-4Cl,Xu_organic_2021,A,,,,-5.68,-4.09
HDO-4Cl,Xu_organic_2021,A,,,,-5.7,-3.91
HFO-PCIC,Li_revealing_2018,A,686,723,1.48,-5.5,-3.81
HF-PCIC,Li_revealing_2018,A,682,716,1.5,-5.53,-3.83
HFQx-T,Feng_thieno_2017,D,,,1.76,-5.36,-3.57
HFQx-T,Xu_hexafluoroquinaoxiline_2017,D,604,601,1.76,-5.45,-3.5
HFQx-T,Zhang_achieving_2017,D,,,,-5.45,-3.5
HF-TCIC,Qin_enhanced_2019,A,,706,1.44,-5.43,-3.83
H-IDTzR,Ye_combination_2018,A,582,616,1.87,-5.31,-3.44
H-ITIC,Yang_halogenated_2017,A,,,,-5.61,-4.02
HTAZ,Bauer_donor_2017,D,,,,-5.42,-3.44
IBCT,Liu_an efficient_2020,A,,,,-5.5,-3.7
IBR,Zulfiqar_thermal_2019,A,,565,,-5.64,-3.41
i-cc23,Wu_effects_2020,A,663,677,1.69,-5.34,-3.64
i-cc34,Wu_effects_2020,A,708,717,1.57,-5.39,-3.75
IC-C6IDT-IC,Lin_facile_2016,A,,,1.62,-5.69,-3.91
IC-C6IDT-IC,Yang_new_2017,A,,,,-5.69,-3.91
ICIF2F,Zhang_preparation_2020,A,760,823,1.36,-5.45,-4.02
ICPDT-4F,Zou_optically_2021,A,,,,-5.33,-3.91
Icz-Rd2,Suman_new_2019,A,543,590,,-5.59,-3.88
Icz-RdCN2,Suman_new_2019,A,582,642,,-5.58,-3.98
ID4F,Yu_simple_2019,A,671,707,1.64,-5.83,-3.86
