,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,sTDDFT_HOMO,sTDDFT_LUMO,sTDDFT_optbg,sTDDFT_max_abs,sTDDFT_total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins
3BDT-5,D,-5.15,-3.4,1.9,584,512,-6.86,-1.38,2.68,463.2,30.617,-6.86,-1.38,2.69,460.1,29.767
BTz-Np,A,-5.95,-3.44,1.82,,517,,,,,,,,,,
BTR,D,-5.34,-3.53,1.78,620,520,-6.69,-1.31,2.41,513.9,17.783,-6.69,-1.31,2.43,510.2,17.05
BTR-Cl,D,-5.46,-3.7,1.78,624,520,-6.87,-1.45,2.44,508.6,15.333,-6.87,-1.45,2.45,506.1,15.25
3BDT-4,D,-5.14,-3.44,1.83,606,522,,,,,,,,,,
FNTz-Teh-FA,A,-6.17,-3.55,2.08,,525,,,,,,,,,,
PDTH-TZNT,D,-5.16,-3.1,1.94,541,527,-6.37,-0.94,2.44,508.4,34.717,-6.37,-0.94,2.45,506.6,29.833
PBB-Cl,D,-5.64,-3.64,2,580,528,-6.94,-1.41,2.76,448.5,64.567,-6.94,-1.41,2.77,447.3,65.817
PBB-F,D,-5.57,-3.57,2,579,529,-6.93,-1.39,2.7,417.4,72.383,-6.93,-1.39,2.71,415.6,64.25
BTDT2R,A,-5.61,-3.73,1.88,550,530,-7.34,-1.85,2.41,514.7,7.117,-7.34,-1.85,2.44,342.7,4.4
IDT(DCV)2,A,-5.81,-3.65,2.16,538,532,,,,,,,,,,
P1_mishra,D,-5.1,-3.48,1.6,588,532,-6.64,-1.44,2.32,535.3,22.65,-6.64,-1.44,2.35,528.3,22.217
PMI-F-PMI,A,-5.74,-3.54,2.2,514,533,,,,,,,,,,
NTz-Np,A,-6.01,-3.6,1.73,,533,,,,,,,,,,
PB3T,D,-5.39,-3.37,1.96,540,534,-6.8,-1.12,2.65,468,47.617,-6.8,-1.12,2.66,466.3,44.017
PBDT-DTN,D,-5.37,-3.53,1.84,572,538,-6.81,-1.2,2.7,459.9,51.483,-6.81,-1.2,2.71,457,50.983
TBTT-BORH,A,-5.76,-3.58,1.83,626,540,-7.49,-2.01,2.36,525.2,2.85,-7.49,-2.01,2.4,342.5,3.733
J11,D,-5.48,-3.23,1.96,543,543,-6.85,-1.38,2.57,482.9,40.333,-6.85,-1.38,2.58,481.1,42.4
Icz-Rd2,A,-5.59,-3.88,,590,543,,,,,,,,,,
PIDT-DTN,D,-5.37,-3.48,1.89,542,544,-6.53,-1.07,2.43,451.4,156.133,-6.53,-1.07,2.44,450,116.05
P2,D,-5.5,-3.59,1.93,548,544,,,,,,,,,,
PDTB-EF-T,D,-5.5,-3.59,1.93,548,544,,,,,,,,,,
J12,D,-5.51,-3.26,1.94,545,548,-6.85,-1.43,2.56,483.9,42.35,-6.85,-1.43,2.57,482.2,44.983
BTA100,A,-5.32,-3.23,2.05,564,556,-6.56,-1.06,2.58,481.2,32.5,-6.56,-1.06,2.6,477.3,23.15
BTA2,A,-5.43,-3.38,2,573,558,-6.82,-1.33,2.5,495.2,17.817,-6.82,-1.33,2.53,490.3,29.8
BisPDI-T-di-EG,A,-5.57,-3.84,,545,560,-7.55,-2.1,2.46,477.6,18.3,-7.55,-2.1,2.54,457.3,23.267
P1_yang,D,-5.17,-2.9,1.87,563,561,-7.38,-0.65,3.3,375.2,6.433,-7.38,-0.65,3.33,294.8,6.433
PDBT-2Cl,D,-5.49,-3.59,1.92,554,562,,,,,,,,,,
NITV,A,-5.4,-3.62,1.78,548,567,,,,,,,,,,
m-PBDTPS-FTAZ,D,-5.4,-3.4,2,579,567,-6.81,-1.32,2.56,483.5,41.5,-6.81,-1.32,2.57,481.6,41.317
F1,D,-5.5,-3.53,1.97,577,568,-6.75,-1.06,2.71,456.9,24.183,-6.75,-1.06,2.74,452.6,25.267
PBT2Clas-Bz,D,-5.48,-3.56,1.97,574,569,-6.74,-1.24,2.56,436.4,39.75,-6.74,-1.24,2.57,434.3,44.067
PBT4Cl-Bz,D,-5.64,-3.57,2.01,573,571,,,,,,,,,,
P-IDTzR,A,-5.31,-3.42,1.89,592,571,,,,,,,,,,
PBB-H,D,-5.47,-3.47,2,580,572,,,,,,,,,,
P4_yang,D,-5.68,-3.13,2,577,576,-7.57,-0.91,3.24,382.9,7.1,-7.57,-0.91,3.26,379.8,7.017
PDBT-2F,D,-5.43,-3.61,1.82,579,576,-6.83,-2.97,0.72,597.7,111.8,-6.83,-2.97,1.04,623.6,98.517
IDT-R,A,-5.44,-3.53,1.96,583,576,,,,,,,,,,
PDBT-F,D,-5.39,-3.57,1.81,584,577,,,,,,,,,,
TTz2,A,-5.5,-3.8,1.61,614,577,,,,,,,,,,
TTz1,A,-5.7,-3.86,1.65,675,578,,,,,,,,,,
PBT2Cls-Bz,D,-5.47,-3.58,1.96,585,580,,,,,,,,,,
PvBDT-Cl,D,-5.49,-3.49,2.04,607,580,-6.84,-0.93,2.99,414.9,44.033,-6.84,-0.93,2.99,414.1,41.8
PBT1Cl-Bz,D,-5.39,-3.57,1.93,588,581,-6.75,-1.3,2.55,485.5,39.133,-6.75,-1.3,2.56,483.8,38.983
ERCN,A,-5.5,-3.59,1.82,572,582,-7.06,-1.68,2.43,509.6,19.75,-7.06,-1.68,2.45,506.2,21.4
H-IDTzR,A,-5.31,-3.44,1.87,616,582,-7.06,-1.48,2.53,490.9,6.817,-7.06,-1.48,2.55,486.9,9.2
Icz-RdCN2,A,-5.58,-3.98,,642,582,,,,,,,,,,
PDBT-Cl,D,-5.41,-3.56,1.83,583,583,-6.74,-1.24,2.56,468.5,76.933,-6.74,-1.24,2.57,466.9,68.4
p-PBDTPS-FTAZ,D,-5.32,-3.36,1.96,589,583,,,,,,,,,,
PBDT-Se-TAZ,D,-5.23,-3.43,1.92,597,583,,,,,,,,,,
PvBDT-F,D,-5.44,-3.45,2.01,616,585,-6.85,-0.94,2.94,421.4,42.333,-6.85,-0.94,2.95,420.5,42.367
DPP-FN-DPP,A,-5.56,-3.81,1.75,653,585,,,,,,,,,,
DICTF,A,-5.67,-3.79,1.82,624,587,-7.75,-1.93,2.71,457.1,6.9,-7.75,-1.93,2.74,452.1,7.45
PBT-TTz,D,-5.41,-3.46,1.95,589,589,,,,,,,,,,
IDTT-R,A,-5.32,-3.49,1.84,598,590,,,,,,,,,,
P2_yang,D,-5.33,-2.94,1.9,594,591,-7.3,-0.78,3.16,392.7,6.367,-7.3,-0.78,3.19,389,6.5
DTC-T-F,A,-5.48,-3.83,1.65,653,591,,,,,,,,,,
P3_yang,D,-5.54,-2.98,1.92,593,592,-7.42,-0.86,3.16,392,6.917,-7.42,-0.86,3.19,388.4,6.75
PBDTS-Se-TAZ,D,-5.29,-3.52,1.9,602,592,,,,,,,,,,
BTA101,A,-5.41,-3.55,1.88,606,593,-6.7,-1.3,2.51,494.8,23.35,-6.7,-1.3,2.53,491,29.683
BTA1,A,-5.49,-3.57,1.85,610,593,-6.84,-1.43,2.48,500.2,18.5,-6.84,-1.43,2.5,495.9,18.4
IDTzCR,A,-5.67,-3.77,1.79,616,593,,,,,,,,,,
2D-PBTCl2,D,-5.43,-3.63,1.66,642,593,,,,,,,,,,
Py-2H,A,-5.78,-3.74,1.69,626,594,,,,,,,,,,
m-4TBC-2F,A,-5.68,-4,1.66,606,595,-7.45,-2.16,2.37,523.9,12.55,-7.45,-2.16,2.39,519.1,12.45
DTC-F-F,A,-5.51,-3.83,1.68,654,595,,,,,,,,,,
PBT-S-TTz,D,-5.45,-3.5,1.95,597,597,-6.69,-1.19,2.57,482.9,41.667,-6.69,-1.19,2.58,480.9,41.583
Qx-8F,D,-5.11,-3.45,1.66,613,597,-6.59,-1.24,2.47,502.9,70.317,-6.59,-1.24,2.48,499.2,70.017
PDTF-TZNT,D,-5.24,-3.23,1.84,617,597,-6.52,-1.04,2.5,495.6,33.65,-6.52,-1.04,2.51,494.1,40.517
IDT-CR,A,-5.34,-3.44,1.78,590,598,,,,,,,,,,
NIDT,A,-5.34,-3.58,1.85,618,599,,,,,,,,,,
4T-4,A,-5.85,-3.86,1.6,651,599,,,,,,,,,,
4T-3,A,-5.86,-3.98,1.52,667,599,,,,,,,,,,
F8IDT-Br,A,-5.82,-3.87,1.7,638,600,,,,,,,,,,
BTA43,A,-5.44,-3.47,1.78,644,600,-6.99,-1.74,2.36,524.7,23.55,-6.99,-1.74,2.39,519.3,33.283
4T-2,A,-5.85,-4.02,1.54,654,600,,,,,,,,,,
4T-1,A,-5.71,-4.09,1.47,704,600,-7.44,-2.09,2.44,508.9,10.483,-7.44,-2.09,2.47,502.9,8.517
IDT(TCV)2,A,-6.04,-4.18,1.86,616,602,,,,,,,,,,
IDTCR,A,-5.46,-3.67,1.76,622,603,-7.14,-1.76,2.38,521.5,17.617,-7.14,-1.76,2.39,518.2,22.733
HFQx-T,D,-5.44,-3.5,1.76,601,604,-6.68,-1.39,2.5,495,79.717,-6.68,-1.39,2.52,492.9,80.083
BT2,A,-5.5,-3.53,1.82,619,605,,,,,,,,,,
Py-2F,A,-5.85,-3.82,1.66,645,606,,,,,,,,,,
TTFQx-T1,D,-5.31,-3.62,1.69,652,606,-6.7,-1.42,2.49,498.5,59.367,-6.7,-1.42,2.5,495.3,59.517
PhITBD,A,-5.5,-3.78,1.18,656,606,-7.56,-2.2,2.45,506.6,14.55,-7.56,-2.2,2.48,499.2,17.833
C8IDT-Br,A,-5.73,-3.86,1.63,662,606,-7.8,-2.07,2.7,458.4,11.483,-7.8,-2.07,2.74,453.2,9.95
BTA53,A,-5.48,-3.58,1.68,690,607,-7.04,-1.77,2.4,516.7,22.867,-7.04,-1.77,2.42,511.5,22.833
PBDB-TSCl,D,-5.61,-3.8,1.81,615,608,-6.87,-1.38,2.53,489.9,57.3,-6.87,-1.38,2.54,488.3,55.983
IDTT-CR,A,-5.25,-3.38,1.74,602,610,,,,,,,,,,
Qx1,A,-5.42,-3.6,1.74,629,610,-6.69,-1.25,2.5,495.9,47.783,-6.69,-1.25,2.52,492.3,31.367
PbiTPD,D,-5.2,-3.45,1.78,630,610,-6.86,-1.44,2.51,494.3,66.583,-6.86,-1.44,2.52,492.8,49.183
PBT1-C,D,-5.43,-3.37,1.87,616,611,-6.68,-1.14,2.55,487,61.1,-6.68,-1.14,2.56,485.1,61.667
PTPD,D,-5.05,-3.19,1.86,613,612,-6.8,-1.26,2.56,483.7,45.8,-6.8,-1.26,2.57,481.9,34.7
Qx-10F,D,-5.18,-3.49,1.69,634,612,-6.69,-1.26,2.61,474.2,68.65,-6.69,-1.26,2.63,471.8,72.367
Qx-12F,D,-5.22,-3.5,1.72,642,612,-6.76,-1.45,2.48,500,72.117,-6.76,-1.45,2.5,496.7,72.283
BTA3,A,-5.49,-3.72,1.76,636,613,-7.04,-1.73,2.41,515.2,23.15,-7.04,-1.73,2.43,510.4,24.467
Qx3,A,-5.38,-3.56,1.64,654,613,,,,,,,,,,
PBDB-TF,D,-5.49,-3.64,1.8,618.48,615,-6.9,-1.28,2.6,428.9,49.617,-6.9,-1.28,2.61,427.3,49.25
BTA103,A,-5.37,-3.64,1.77,627,617,-6.96,-1.63,2.44,509,27.05,-6.96,-1.63,2.45,505,34.3
DTNR,A,-5.67,-3.75,1.72,650,618,,,,,,,,,,
I-IDTBTRh,A,-5.42,-3.68,1.65,667,618,,,,,,,,,,
IDTT-T,A,-5.51,-3.58,1.82,625,620,,,,,,,,,,
DTC-T-C,A,-5.68,-4.09,1.59,681,620,,,,,,,,,,
BT2b,A,-5.41,-3.56,1.75,646,621,-7.03,-1.8,2.3,538.7,8.95,-7.03,-1.8,2.34,529.9,8.933
PBDB-T,D,-5.33,-3.48,1.84,625.98,622.5,-6.68,-1.18,2.53,489.8,52.433,-6.68,-1.18,2.54,487.9,54.233
PBDT-NQx,D,-5.24,-3.42,1.8,632,624,-6.49,-1.16,2.55,485.7,121.617,-6.49,-1.16,2.56,483.4,130.9
2D-PBTCl,D,-5.45,-3.6,1.72,627,625,-6.71,-1.3,2.61,474.1,36.217,-6.71,-1.3,2.63,471.1,38.217
PBDTS-NQx,D,-5.31,-3.46,1.81,636,628,,,,,,,,,,
NIBT,A,-5.38,-3.68,1.63,660,628,-6.99,-1.92,2.19,565.4,29.633,-6.99,-1.92,2.23,556.5,28.35
PBT1-C-2Cl,D,-5.59,-3.53,1.85,629,629,-6.94,-1.3,2.69,460.2,55.233,-6.94,-1.3,2.7,459.3,55.217
Qx1b,A,-5.35,-3.66,1.68,660,631,,,,,,,,,,
DTNIC8,A,-5.91,-3.93,1.73,660,634,,,,,,,,,,
DTSiC-IC,A,-5.79,-4.05,1.71,678,634,,,,,,,,,,
Qx3c,A,-5.3,-3.59,1.6,686,636,-7.13,-1.98,2.25,551.4,12.217,-7.13,-1.98,2.28,542.8,12.217
PTICH,A,-5.62,-3.8,1.6,709,637,,,,,,,,,,
DTNIC6,A,-5.87,-3.92,1.7,670,638,-7.54,-1.94,2.56,484.5,8.767,-7.54,-1.94,2.61,475.9,9.767
IDT-CT,A,-5.39,-3.67,1.63,655,639,,,,,,,,,,
IDTT-CT,A,-5.28,-3.65,1.63,653,641,,,,,,,,,,
Qx3b,A,-5.27,-3.63,1.59,706,642,,,,,,,,,,
PBBSe-Cl,D,-5.36,-3.63,1.73,645,643,-6.78,-1.4,2.42,511.5,59.15,-6.78,-1.4,2.43,509.4,58.133
DTCC-BC,A,-5.46,-3.81,1.67,671,643,,,,,,,,,,
PTB4F,A,-5.87,-3.89,1.65,729,645,,,,,,,,,,
IDT-IC,A,-5.61,-3.88,1.72,683.49,646,,,,,,,,,,
P105,D,-5.38,-3.62,1.66,652,647,,,,,,,,,,
NTIC-Me,A,-5.53,-3.73,1.74,670,647,,,,,,,,,,
PTICO,A,-5.48,-3.66,1.56,746,647,,,,,,,,,,
PY-1,A,-5.27,-4,1.4,750,648,-6.84,-1.83,2.31,536.8,20.933,-6.84,-1.83,2.33,533,10.917
IT-OM-1,A,-5.5,-3.76,1.67,668,650,,,,,,,,,,
O-NTIC,A,-5.51,-3.67,1.7,671,650,,,,,,,,,,
O-IDTBR,A,-5.52,-3.89,1.68,673,650,,,,,,,,,,
EH-IDTBR,A,-5.51,-3.88,1.63,690,650,-7.03,-1.93,2.21,560.6,9.667,-7.03,-1.93,2.25,550.5,9.817
NTIC,A,-5.58,-3.76,1.67,694,650,,,,,,,,,,
PTIC,A,-5.59,-3.81,1.53,747,650,,,,,,,,,,
P104,D,-5.29,-3.68,1.59,657,651,-6.74,-1.47,2.36,526.1,29.967,-6.74,-1.47,2.38,521,29.783
PBBSe-H,D,-5.16,-3.45,1.71,657,651,-6.6,-1.26,2.42,512.3,58.467,-6.6,-1.26,2.43,510.1,63.6
NTIC-OMe,A,-5.53,-3.7,1.71,675,651,,,,,,,,,,
IDT-2B,A,-5.8,-3.84,1.73,672,654,,,,,,,,,,
IDIC-PhC6,A,-5.72,-3.86,1.71,682,654,,,,,,,,,,
IDBTR-C6,A,-5.3,-3.71,1.52,711,654,,,,,,,,,,
BT3,A,-5.26,-3.66,1.59,674,657,-7.16,-2.09,2.22,558.9,18.65,-7.16,-2.09,2.25,550.7,18.7
JC14,A,-5.41,-3.63,1.57,707,657,-6.99,-1.86,2.22,557.8,16.583,-6.99,-1.86,2.26,548.6,16.317
NTIC-F,A,-5.52,-3.77,1.66,712,657,-7.54,-2.01,2.57,481.6,17.233,-7.54,-2.01,2.61,474.4,16.967
PTB4Cl,A,-5.91,-3.93,1.58,760,657,-7.64,-2.07,2.53,489.6,11.367,-7.64,-2.07,2.56,484.1,11.617
IDT-2BM,A,-5.5,-3.79,1.34,688.99,657.99,-7.37,-2.19,2.31,536.4,16.433,-7.37,-2.19,2.35,527.5,22.4
SSBR,A,-5.44,-3.72,1.53,662,659,-7.12,-2.09,2.07,597.6,6.033,-7.12,-2.09,2.12,585.4,6.817
OF-PCIC,A,-5.66,-3.86,1.59,702,660,-7.63,-2.18,2.47,502.8,15.783,-7.63,-2.18,2.5,496.1,11.033
IDT-OB,A,-5.77,-3.87,1.66,697,661,,,,,,,,,,
DTCC-IC,A,-5.49,-3.85,1.62,705.87,661.96,,,,,,,,,,
F-M,A,-5.42,-3.7,1.65,687,662,-7.41,-1.83,2.59,478,12.767,-7.41,-1.83,2.63,471.4,13.75
TPT-2F,A,-5.84,-4.06,1.64,698,662,,,,,,,,,,
i-cc23,A,-5.34,-3.64,1.69,677,663,,,,,,,,,,
IT-OM-3,A,-5.52,-3.8,1.64,686,664,,,,,,,,,,
DTSiC-TC,A,-5.79,-4.07,1.67,688,664,,,,,,,,,,
ITBC,A,-5.49,-3.9,1.59,691,664,,,,,,,,,,
ITIC-Th3,A,-5.67,-3.73,1.63,698,664,,,,,,,,,,
FDICTF,A,-5.43,-3.71,1.63,689,665,,,,,,,,,,
F-H,A,-5.43,-3.71,1.63,689,665,,,,,,,,,,
PI-4F,A,-5.8,-4.06,1.65,703,665,-7.61,-2.16,2.34,528.7,21.667,-7.61,-2.16,2.37,523.2,26.25
ORCN,A,-5.37,-3.56,1.64,676,666,,,,,,,,,,
F5IC,A,-5.82,-4.05,1.64,694,666,,,,,,,,,,
IDIC,A,-5.69,-3.91,1.63,716,666,,,,,,,,,,
IT-OH,A,-5.57,-3.92,1.54,725,666,,,,,,,,,,
IT-DOH,A,-5.58,-3.93,1.53,732,667,,,,,,,,,,
ITIC-Th,A,-5.66,-3.93,1.6,706,668,,,,,,,,,,
IDT-2O,A,-5.73,-3.85,1.64,706,668,,,,,,,,,,
ITIC-0F,A,-5.7,-4,1.59,708,668,,,,,,,,,,
IT-DM,A,-5.57,-3.88,1.63,694,669,,,,,,,,,,
MO-IDIC,A,-5.69,-3.89,1.6,,670,,,,,,,,,,
a-IT-2OM,A,-5.61,-3.92,1.63,695,671,-7.23,-1.89,2.49,498.8,17.917,-7.23,-1.89,2.51,493,19.317
BDCPDT-TTC,A,-5.38,-3.78,1.58,700,671,-7.21,-1.93,2.46,503.9,18.65,-7.21,-1.93,2.49,498.5,31.517
ID4F,A,-5.83,-3.86,1.64,707,671,,,,,,,,,,
ITIC-OE,A,-5.67,-4.03,1.58,718,671,,,,,,,,,,
o-4TBC-2F,A,-5.63,-4,1.34,825,671,,,,,,,,,,
DTC-4F,A,-5.79,-3.92,1.63,701,672,,,,,,,,,,
IDTT-2BM,A,-5.5,-3.8,1.54,714,672,,,,,,,,,,
Ph-DTDP-IC,A,-5.53,-4,1.61,701,673,,,,,,,,,,
JC2,A,-5.48,-3.73,1.48,760,673,,,,,,,,,,
CPIC-1,A,-5.61,-3.62,1.45,642,674,,,,,,,,,,
F-F,A,-5.72,-4.13,1.59,703,674,,,,,,,,,,
MeIC,A,-5.72,-3.76,1.58,718,674,,,,,,,,,,
NITT-BF,A,-5.75,-4.15,1.52,713,675,,,,,,,,,,
TPTT-2F,A,-5.75,-4.04,1.58,717,675,,,,,,,,,,
IT-OM-4,A,-5.49,-3.81,1.63,688,676,,,,,,,,,,
DTTC-4F,A,-5.69,-3.91,1.55,725,676,,,,,,,,,,
ITC6-IC,A,-5.73,-3.92,1.6,709,677,,,,,,,,,,
ID-4F,A,-5.75,-4.06,,719,677,,,,,,,,,,
ITIC-Th1,A,-5.74,-4.01,1.55,728,677,,,,,,,,,,
MO-IDIC-2F,A,-5.8,-3.93,1.55,,677,,,,,,,,,,
ITIC,A,-5.49,-3.83,1.59,705.14,677.79,-7.34,-1.98,2.48,499,18.4,-7.34,-1.98,2.51,493.4,17.517
ITCPTC,A,-5.63,-3.96,1.58,719.7,677.88,,,,,,,,,,
F-2F,A,-5.78,-3.89,1.6,703,678,-7.6,-2.08,2.57,481.7,12.7,-7.6,-2.08,2.61,475.5,16.85
IT-OM-2,A,-5.49,-3.86,1.59,706,678,,,,,,,,,,
F-Cl,A,-5.62,-4.04,1.58,711,678,,,,,,,,,,
O-NTNC,A,-5.54,-3.78,1.64,706,679,,,,,,,,,,
IT6-4F,A,-5.69,-3.99,1.53,709,679,,,,,,,,,,
F-Br,A,-5.62,-4.06,1.56,720,679,,,,,,,,,,
CNDTBT-C8IDT-INCN,A,-5.54,-3.82,1.48,715,680,,,,,,,,,,
PDCPDT-BC,A,-5.4,-3.85,1.53,717,680,,,,,,,,,,
QCIC1,A,-5.52,-3.8,1.41,718,680,,,,,,,,,,
ITIC-Th2,A,-5.75,-4.07,1.54,735,680,,,,,,,,,,
DCI-2,A,-5.24,-4.05,1.23,888,680,,,,,,,,,,
PD-dIDTC6,A,-5.51,-3.89,1.65,681,681,-7.15,-1.94,2.44,507.3,20.75,-7.15,-1.94,2.47,501.9,20.917
CDTBM,A,-5.69,-4.28,1.45,701,681,,,,,,,,,,
A1,A,-5.66,-3.7,1.4,785,681,-6.92,-1.96,2.11,588.8,24.4,-6.92,-1.96,2.15,576.4,25.217
ITIC-2F,A,-5.66,-4.11,1.56,721.5,681.47,,,,,,,,,,
HF-PCIC,A,-5.53,-3.83,1.5,716,682,,,,,,,,,,
ITIC-4F,A,-5.82,-4.24,1.55,728,682,,,,,,,,,,
IDT-3EsT,A,-5.38,-3.85,1.55,705,683,,,,,,,,,,
PZ-dIDTC6,A,-5.54,-3.85,1.57,711,683,,,,,,,,,,
ITCF,A,-5.59,-3.95,1.57,718,683,,,,,,,,,,
CZTT-IC,A,-5.54,-3.97,1.56,700,684,-7.22,-1.86,2.59,478,20.283,-7.22,-1.86,2.62,472.6,22.017
a-IT-2F,A,-5.67,-4.07,1.56,717,684,-7.41,-2.09,2.47,502.4,18.4,-7.41,-2.09,2.5,496.5,23.683
TTPTTT-IC,A,-5.64,-3.87,1.6,700,685,-7.69,-1.65,2.96,380.5,15.867,-7.69,-1.65,3,371.8,15.817
BDSeThCl,A,-5.58,-3.82,1.55,706,685,-7.32,-1.98,2.41,515.2,18.25,-7.32,-1.98,2.44,509.1,20.5
ITIC-3F,A,-5.73,-4.12,1.54,730,685,,,,,,,,,,
IDBDT-T,A,-5.78,-3.66,1.63,701,686,,,,,,,,,,
HFO-PCIC,A,-5.5,-3.81,1.48,723,686,,,,,,,,,,
IDTN-O,A,-5.77,-3.89,1.59,728,686,,,,,,,,,,
ITIC3,A,-5.54,-3.9,1.55,734,686,,,,,,,,,,
TPTTT-2F,A,-5.69,-4.01,1.56,724,687,,,,,,,,,,
IDT-N,A,-5.74,-4.08,1.58,727,687,,,,,,,,,,
m-ITTC,A,-5.62,-3.89,1.61,711,688,,,,,,,,,,
SeTIC,A,-5.55,-3.9,1.58,712,688,,,,,,,,,,
4TC-4F-C8C8,A,-5.6,-3.96,1.51,732,688,-7.26,-2.03,2.44,507.2,22.933,-7.26,-2.03,2.47,502.1,22.4
IDTN,A,-5.8,-3.98,1.57,732,688,,,,,,,,,,
F-2Cl,A,-5.63,-3.89,1.58,732,688,-7.57,-2.1,2.56,484.1,13.117,-7.57,-2.1,2.6,477.4,13.3
4TC-4F-C6C8,A,-5.59,-4,1.49,737,688,,,,,,,,,,
BT-BIC,A,-5.46,-3.73,1.52,748,688,-7.15,-1.91,2.41,515.5,12.833,-7.15,-1.91,2.43,510.7,13.35
IDIC-4Cl,A,-5.9,-4.04,1.52,755.8,688.5,-7.78,-2.3,2.47,501.6,8.233,-7.78,-2.3,2.51,494.2,8.85
BDIC2F,A,-5.55,-3.85,1.38,722,689,-7.35,-2.14,2.32,535.1,12.2,-7.35,-2.14,2.34,529.8,25.333
QCIC3,A,-5.52,-3.89,1.38,739,689,,,,,,,,,,
CSeT-IC,A,-5.6,-3.91,1.58,712,690,,,,,,,,,,
ITIC4,A,-5.77,-3.97,1.52,730,690,,,,,,,,,,
F7IC,A,-5.74,-4.01,1.56,730,690,,,,,,,,,,
4TC-4F-C16,A,-5.53,-3.96,1.48,736,690,,,,,,,,,,
DTTC-4Cl,A,-5.72,-4.03,1.47,753,690,,,,,,,,,,
IT-4F,A,-5.66,-4.14,1.53,725.5,690.99,,,,,,,,,,
DTC-F-C,A,-5.66,-3.94,1.72,650,691,,,,,,,,,,
PBCIT,D,-5.47,-3.61,1.64,695,691,,,,,,,,,,
AT-4Cl,A,-5.71,-3.89,1.6,709,691,-7.29,-1.99,2.45,506.2,21.8,-7.29,-1.99,2.49,498.3,21.717
IDTT(TCV)2,A,-5.58,-4.06,1.52,713,691,,,,,,,,,,
FDTBT-IDTT-FINCN,A,-5.46,-3.92,1.51,723,691,,,,,,,,,,
PIDIC2T,A,-5.65,-3.85,1.54,726,691,-7.48,-2.07,2.51,493.3,36.6,-7.48,-2.07,2.53,489.2,66.117
NITT-ThCl,A,-5.71,-4.1,1.55,705,692,,,,,,,,,,
INIC,A,-5.45,-3.88,1.57,706,692,-7.15,-1.94,2.42,511.8,28,-7.15,-1.94,2.45,506.6,20.283
CNDTBT-C8IDT-FINCN,A,-5.58,-3.92,1.4,766,692,-7.12,-2.32,2.02,612.6,39.2,-7.12,-2.32,2.05,606.2,27.033
BO2FIDT-4Cl,A,-5.73,-3.89,1.59,708,693,-7.21,-2.03,2.35,527.4,45.283,-7.21,-2.03,2.36,524.4,45.283
2T2Se-F,A,-5.52,-3.83,1.31,806,694,-7.47,-2.29,2.2,564.8,8.35,-7.47,-2.29,2.22,558.1,8.483
